"timeMerged","stress_outbreak","BAs_shopping","pss_1","pss_2","pss_3","pss_4","pss_5","pss_6","pss_7","pss_8","pss_9","pss_10","pss_11","pss_12","pss_13","pss_14"
3,9,NA,3,3,4,2,3,3,4,4,3,4,4,5,2,3
3,9,NA,4,3,2,2,3,3,3,4,2,2,3,4,3,4
3,4,NA,1,1,2,1,1,2,2,2,2,1,1,3,1,1
3,5,NA,2,2,2,1,1,1,1,2,1,2,2,5,2,2
3,6,NA,3,2,3,2,1,2,2,1,3,2,1,5,2,2
3,2,NA,3,4,4,3,3,3,4,4,4,4,4,5,1,4
3,10,NA,3,4,4,2,2,4,3,3,3,3,3,2,3,5
3,7,NA,4,4,3,4,2,4,2,3,3,3,3,2,3,3
3,3,NA,3,2,5,2,2,3,3,2,2,2,3,4,2,2
3,3,NA,1,1,2,2,2,2,3,1,2,2,1,3,3,1
3,4,NA,2,3,5,3,3,5,4,4,1,2,2,4,1,3
3,5,NA,1,1,1,1,1,1,2,1,1,1,1,3,1,1
3,10,NA,2,1,3,2,2,2,3,1,2,2,2,3,1,2
3,3,NA,2,1,2,1,2,2,2,2,2,4,4,4,1,1
3,10,NA,4,4,3,2,2,2,1,5,2,2,3,4,2,5
3,7,NA,2,1,2,3,3,3,3,1,3,3,2,3,3,1
3,7,NA,2,1,3,2,2,2,2,1,5,2,2,1,2,1
3,9,NA,5,5,5,5,5,5,5,5,5,5,5,5,4,5
3,7,NA,2,2,3,2,2,2,2,2,2,2,2,3,2,2
3,8,NA,2,2,3,3,3,3,2,3,3,3,2,2,3,2
3,8,NA,3,3,4,2,2,2,2,2,3,3,3,4,2,2
3,5,"a little bit",1,1,1,1,1,1,3,1,1,1,1,3,1,1
3,7,"somewhat",2,2,3,2,2,2,3,1,2,2,2,3,2,1
3,8,"a little bit",3,3,3,3,2,2,4,2,3,4,5,4,2,4
3,7,"not at all",3,3,3,2,2,3,4,1,3,2,3,4,1,2
3,3,"a little bit",2,1,2,2,1,1,3,1,2,3,2,3,2,1
3,7,"quite a lot",2,4,2,3,3,5,3,3,5,4,3,5,1,1
3,9,"a little bit",1,1,3,1,2,2,1,2,1,1,1,2,2,1
3,2,"not at all",1,1,1,1,1,1,1,1,1,1,1,2,1,1
3,3,"a little bit",5,2,3,3,2,3,2,3,2,2,4,5,3,3
3,7,"a little bit",3,4,4,4,3,4,4,4,3,4,2,4,3,4
3,2,"not at all",1,1,1,1,1,1,1,1,1,1,1,3,1,1
3,8,"quite a lot",3,3,3,3,3,4,4,2,2,3,2,3,4,3
3,10,"quite a lot",1,1,1,1,1,1,2,1,3,1,1,4,1,1
3,1,"somewhat",3,4,3,3,3,3,4,3,4,2,2,2,2,3
3,5,"quite a lot",3,3,3,2,2,2,2,3,2,2,3,4,2,3
3,5,"a little bit",3,2,3,2,3,2,3,1,2,2,3,4,3,1
3,2,"a little bit",2,2,1,2,3,4,4,2,2,4,2,3,4,2
3,3,"a little bit",3,3,4,3,3,3,3,2,3,3,2,5,3,4
3,9,"not at all",1,1,3,5,5,5,5,1,4,5,1,1,2,1
3,10,"a little bit",2,3,5,1,2,1,5,1,2,2,2,4,2,1
3,5,"a little bit",2,3,2,2,2,3,3,1,3,2,3,3,2,1
3,8,"somewhat",3,2,3,3,2,2,2,3,2,2,4,3,1,3
3,7,"not at all",3,2,4,2,3,2,3,2,3,3,3,2,3,2
3,4,"not at all",1,2,3,2,3,3,4,3,2,3,1,3,2,3
3,2,"a little bit",1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,"not at all",2,3,3,3,4,4,3,4,3,4,2,3,1,4
3,6,"quite a lot",2,4,3,2,2,2,2,2,2,2,2,4,2,2
3,6,"not at all",1,1,2,2,4,2,2,1,2,3,2,3,2,1
3,1,"somewhat",1,1,1,1,1,1,1,1,1,1,1,2,1,1
3,6,"not at all",1,1,2,1,1,1,2,1,1,2,3,4,1,1
3,6,"quite a lot",4,4,4,2,2,2,3,2,4,4,2,2,3,4
3,4,"a little bit",1,1,2,1,1,1,1,1,1,1,1,1,1,1
3,6,"quite a lot",4,5,3,1,2,2,1,5,1,2,5,4,1,4
3,5,"a little bit",2,4,2,2,1,2,3,2,3,2,2,3,3,2
3,3,"somewhat",2,2,3,5,5,3,3,3,5,3,4,1,3,2
3,8,"quite a lot",3,3,3,2,3,3,3,3,2,4,3,4,3,2
3,5,"quite a lot",3,2,2,4,2,2,2,3,3,2,4,3,4,2
3,6,"a little bit",3,3,3,4,2,4,4,4,3,4,4,1,4,4
3,7,"quite a lot",3,4,3,2,2,3,3,4,3,3,4,3,2,4
3,9,"not at all",2,4,3,2,4,1,4,2,2,2,3,5,2,3
3,8,"somewhat",5,3,5,3,3,3,3,4,3,3,3,3,2,5
3,2,"a little bit",2,1,2,1,2,1,2,1,2,2,1,4,1,1
3,5,"a little bit",3,3,4,4,4,4,4,3,3,4,3,3,3,3
3,5,"somewhat",2,4,2,3,3,3,3,2,3,3,2,3,3,2
3,9,"quite a lot",4,4,4,3,1,3,2,3,2,3,3,4,3,4
3,6,"a little bit",1,2,2,2,3,2,2,1,2,2,1,4,2,1
3,10,"not at all",3,4,5,3,4,4,5,4,4,4,3,5,2,5
3,3,"a little bit",5,4,5,4,5,4,4,4,2,4,4,4,3,4
3,10,"not at all",5,1,2,3,1,3,2,4,1,2,4,2,3,2
3,7,"somewhat",4,3,4,2,3,4,3,3,3,3,3,3,4,3
